iso_code,continent,location,last_updated_date,new_cases_per_million,new_deaths_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,median_age,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,life_expectancy,human_development_index
PAK,Asia,Pakistan,10/19/21,2.46,0.053,28.84,15.46,23.5,5034.708,423.031,8.35,67.27,0.557
PLW,Oceania,Palau,10/19/21,0,,,,,13240.405,,15.89,73.7,0.826
PSE,Asia,Palestine,10/19/21,135.752,0.957,,22.52,20.4,4449.898,265.91,10.59,74.05,0.708
PAN,North America,Panama,10/19/21,0,0,67.59,53.43,29.7,22267.037,128.346,8.33,78.51,0.815
PNG,Oceania,Papua New Guinea,10/19/21,54.721,0.329,,,22.6,3823.194,561.494,17.65,64.5,0.555
PRY,South America,Paraguay,10/19/21,4.017,0,39.73,28.51,26.5,8827.01,199.128,8.27,74.25,0.728
PER,South America,Peru,10/19/21,0,0,53.69,42.4,29.1,12236.706,85.755,5.95,76.74,0.777
PHL,Asia,Philippines,10/19/21,40.064,1.9,,22.24,25.2,7599.188,370.437,7.07,71.23,0.718
POL,Europe,Poland,10/19/21,103.977,1.693,53.05,52.27,41.8,27216.445,227.331,5.91,78.73,0.88
PRT,Europe,Portugal,10/19/21,81.826,0.59,88.27,86.38,46.2,27936.896,127.842,9.85,82.05,0.864
QAT,Asia,Qatar,10/19/21,28.323,0,,,31.9,116935.6,176.69,16.52,80.23,0.848
ROU,Europe,Romania,10/19/21,986.158,30.009,34.29,29.74,43,23313.199,370.946,9.74,76.05,0.828
RUS,Europe,Russia,10/19/21,225.033,6.792,34.39,31.32,39.6,24765.954,431.297,6.18,72.58,0.824
RWA,Africa,Rwanda,10/19/21,2.41,0.075,22.06,12.94,20.3,1854.211,191.375,4.28,69.02,0.543
KNA,North America,Saint Kitts and Nevis,10/19/21,336.16,0,49.02,43.08,,24654.385,,12.84,76.23,0.779
LCA,North America,Saint Lucia,10/19/21,249.456,0,26.8,20.62,34.9,12951.839,204.62,11.62,76.2,0.759
VCT,North America,Saint Vincent and the Grenadines,10/19/21,89.872,8.987,20.78,13.39,31.8,10727.146,252.675,11.62,72.53,0.738
WSM,Oceania,Samoa,10/19/21,0,,57.64,36.63,22,6021.557,348.977,9.21,73.32,0.715
SMR,Europe,San Marino,10/19/21,117.612,0,73.75,65.33,,56861.47,,5.64,84.97,
STP,Africa,Sao Tome and Principe,10/19/21,35.816,0,33.95,12.48,18.7,3052.714,270.113,2.42,70.39,0.625
SAU,Asia,Saudi Arabia,10/19/21,1.387,0.057,67.82,59.13,31.9,49045.411,259.538,17.72,75.13,0.854
SEN,Africa,Senegal,10/19/21,0.116,0.058,7.45,5.1,18.7,2470.58,241.219,2.42,67.94,0.512
SRB,Europe,Serbia,10/19/21,1109.402,8.251,44.36,42.46,41.2,14048.881,439.415,10.08,76,0.806
SYC,Africa,Seychelles,10/19/21,444.849,0,81.48,75.6,36.2,26382.287,242.648,10.55,73.4,0.796
SLE,Africa,Sierra Leone,10/19/21,0,0,3.91,1.36,19.1,1390.3,325.721,2.42,54.7,0.452
SGP,Asia,Singapore,10/19/21,677.33,1.187,80.4,79.46,42.4,85535.383,92.243,10.99,83.62,0.938
SXM,North America,Sint Maarten (Dutch part),10/15/21,,,60.16,55.51,,36327.232,,,78.95,
SVK,Europe,Slovakia,10/19/21,329.077,1.831,45.5,41.82,41.2,30155.152,287.959,7.29,77.54,0.86
SVN,Europe,Slovenia,10/19/21,802.897,1.924,54.86,51.39,44.5,31400.84,153.493,7.25,81.32,0.917
SLB,Oceania,Solomon Islands,10/19/21,0,,16.11,4.05,20.8,2205.923,459.78,18.68,73,0.567
SOM,Africa,Somalia,10/19/21,0,0,2.17,1.72,16.8,,365.769,6.05,57.4,
ZAF,Africa,South Africa,10/19/21,7.528,0.916,23.48,17.92,27.3,12294.876,200.38,5.52,64.13,0.709
OWID_SAM,,South America,10/19/21,43.711,1.285,65.18,47.18,,,,,,
KOR,Asia,South Korea,10/19/21,30.601,0.175,78.96,66.79,43.4,35938.374,85.998,6.8,83.03,0.916
SSD,Africa,South Sudan,10/19/21,2.197,0,0.74,0.31,19.2,1569.888,280.775,10.43,57.85,0.433
ESP,Europe,Spain,10/19/21,40.411,0.449,81.08,79.34,45.5,34272.36,99.403,7.17,83.56,0.904
LKA,Asia,Sri Lanka,10/19/21,25.492,0.837,68.78,59.63,34.1,11669.077,197.093,10.68,76.98,0.782
SDN,Africa,Sudan,10/19/21,0,0,,,19.7,4466.507,431.388,15.67,65.31,0.51
SUR,South America,Suriname,10/19/21,486.653,18.587,41.12,31.91,29.6,13767.119,258.314,12.54,71.68,0.738
SWE,Europe,Sweden,10/19/21,163.58,0.689,71.09,67.12,41,46949.283,133.982,4.79,82.8,0.945
CHE,Europe,Switzerland,10/19/21,142.39,0.688,64.87,61.25,43.1,57410.166,99.739,5.59,83.78,0.955
SYR,Asia,Syria,10/19/21,22.653,0.93,3.73,2.01,21.7,,376.264,,72.7,0.567
